Rule Break,Rule Break by Base,Cost,Cast Member 1,Cast Member 2,Epsiode,Season,,,Source:
Kiss,1st Base,3000,Harry,Francesca,2,1,,,https://screenrant.com/too-hot-to-handle-netflix-show-every-sexual-rule-break-money-lost/
Kiss,1st Base,3000,Haley,Francesca,2,1,,,https://thetab.com/uk/2021/07/02/too-hot-to-handle-season-two-rule-breaks-every-single-time-the-contestants-got-fined-213299
"Kiss, inappropriate touching, fondling",3rd Base,16000,Sharron,Rhonda,5,1,,,
Kiss,1st Base,3000,Bryce,Chole,5,1,,,
Kiss,1st Base,3000,Kori,Chole,6,1,,,
Sex,Home Run,20000,Harry,Francesca,6,1,,,
Kiss,1st Base,3000,David,Lydia,7,1,,,
Oral sex,3rd Base,6000,Harry,Francesca,7,1,,,
Kiss,1st Base,3000,Cam,Emily,2,2,,,
Kiss,1st Base,3000,Carly,Chase,2,2,,,
Kiss,1st Base,3000,Marvin,Melinda,2,2,,,
Kiss,1st Base,3000,Cam,Emily,2,2,,,
Kiss,1st Base,3000,Peter,Melinda,2,2, ,,
Kiss,1st Base,3000,Peter,Carly,2,2,,,
Kiss,1st Base,3000,Carly,Chase,2,2,,,
Inappropriate sexual contact,2nd Base,4000,Cam,Emily,3,2,,,
Masturbation,0 Base,2000,Cam,,3,2,,,
Excessive grinding and self-touching,2nd Base,5000,Cam,Emily,4,2,,,
Kiss,1st Base,3000,Robert,Christina,6,2,,,
Handjob,2nd Base,5000,Robert,Christina,6,2,,,
Sex,Home Run,20000,Marvin,Melinda,7,2,,,
Kiss,1st Base,3000,Carly,Joey,7,2,,,
"Kiss, inappropriate sexual contact",2nd Base,7000,Chase,Tabitha,8,2,,,
